source_id	file_uid	url
S0C	M01003M18	http://vd2.bdstatic.com/mda-nh4bibyv4v3ns4s0/cae_h264/1659758632534327528/mda-nh4bibyv4v3ns4s0.mp4
S0C	M01003M2H	http://vd4.bdstatic.com/mda-nh5h99ac43uhqi6j/cae_h264/1659788983494291032/mda-nh5h99ac43uhqi6j.mp4
S0C	M01003YN6	http://vd2.bdstatic.com/mda-ngf7np46s18zdrv8/360p/h264/1657949089719494346/mda-ngf7np46s18zdrv8.mp4
S0U	M01003PLL	https://www.youtube.com/watch?v=h9lNp5LJj1I
S0C	M01003VMI	http://vd2.bdstatic.com/mda-nhj1f2mb3byn9axg/cae_h264/1660958412410747958/mda-nhj1f2mb3byn9axg.mp4
S0C	M01003M1N	http://vd3.bdstatic.com/mda-nghmv0n8dyzjb63b/cae_h264/1658158955571942297/mda-nghmv0n8dyzjb63b.mp4
S0C	M01003MTK	http://vd2.bdstatic.com/mda-ncqdcucf3m6zgjzz/360p/h264_delogo/1648202114325469972/mda-ncqdcucf3m6zgjzz.mp4
S0C	M01003LLO	http://vd4.bdstatic.com/mda-nehcnyfmhrpiq3ah/cae_h264/1652919733013769947/mda-nehcnyfmhrpiq3ah.mp4
S0C	M01003JLO	http://vd2.bdstatic.com/mda-ngt14pajd86dszc9/cae_h264/1658970258963454944/mda-ngt14pajd86dszc9.mp4
S0C	M01003M20	http://vd3.bdstatic.com/mda-nh1gbwd5gvki016y/cae_h264/1659441381156335870/mda-nh1gbwd5gvki016y.mp4
S0C	M01003JQV	http://vd2.bdstatic.com/mda-nh21qmizd0kf08gt/cae_h264/1659489487157368122/mda-nh21qmizd0kf08gt.mp4
S0A	M01003VUT	https://www.bilibili.com/video/BV1pT4y1u7BR
S0A	M01003VPM	https://www.bilibili.com/video/BV1yS4y1d7S8
S0A	M01003VOY	https://www.bilibili.com/video/BV1jf4y1x7iJ
S0A	M01003W6M	https://www.bilibili.com/video/BV1wL4y1V7Q7
S0A	M01003JUU	https://www.bilibili.com/video/BV1Ks411r79F
S0C	M01003NEX	http://vd2.bdstatic.com/mda-nerky7fszt733a4x/360p/h264/1653577979500583971/mda-nerky7fszt733a4x.mp4
S0U	M01003PKW	https://www.youtube.com/watch?v=FfHvARc8D94
